penalties,yards,name,year
115,1008,Football Team,2018
121,956,Cardinals,2019
119,956,Falcons,2019
109,867,Ravens,2019
117,927,Bills,2019
87,754,Panthers,2019
103,838,Bears,2019
93,761,Bengals,2019
122,1106,Browns,2019
109,1008,Cowboys,2019
110,912,Broncos,2019
113,937,Lions,2019
100,774,Packers,2019
111,892,Texans,2019
79,670,Colts,2019
132,1165,Jaguars,2019
107,1029,Chiefs,2019
118,899,Rams,2019
103,872,Chargers,2019
92,769,Dolphins,2019
96,895,Vikings,2019
94,828,Patriots,2019
120,1036,Saints,2019
90,784,Giants,2019
115,1105,Jets,2019
100,836,Eagles,2019
111,893,Steelers,2019
109,882,Seahawks,2019
105,939,49ers,2019
133,1111,Buccaneers,2019
99,932,Titans,2019
106,835,Football Team,2019
113,868,Cardinals,2020
83,736,Falcons,2020
104,961,Ravens,2020
102,941,Bills,2020
95,752,Panthers,2020
88,777,Bears,2020
83,675,Bengals,2020
100,870,Browns,2020
96,849,Cowboys,2020
81,670,Broncos,2020
95,860,Lions,2020
84,684,Packers,2020
80,619,Texans,2020
94,899,Colts,2020
107,1071,Jaguars,2020
105,919,Chiefs,2020
71,655,Rams,2020
85,710,Chargers,2020
98,856,Raiders,2020
74,635,Dolphins,2020
82,650,Vikings,2020
62,534,Patriots,2020
98,1005,Saints,2020
81,634,Giants,2020
101,952,Jets,2020
107,853,Eagles,2020
81,691,Steelers,2020
84,662,Seahawks,2020
85,731,49ers,2020
84,715,Buccaneers,2020
86,783,Titans,2020
87,697,Football Team,2020
114,990,Cardinals,2021
92,753,Falcons,2021
102,852,Ravens,2021
113,980,Bills,2021
107,864,Panthers,2021
106,914,Bears,2021
72,620,Bengals,2021
112,1035,Browns,2021
127,1103,Cowboys,2021
83,711,Broncos,2021
105,824,Lions,2021
69,678,Packers,2021
114,978,Texans,2021
76,688,Colts,2021
104,856,Jaguars,2021
111,925,Chiefs,2021
76,637,Rams,2021
116,1033,Chargers,2021
124,1104,Raiders,2021
105,825,Dolphins,2021
111,1043,Vikings,2021
95,854,Patriots,2021
98,811,Saints,2021
88,674,Giants,2021
103,860,Jets,2021
107,842,Eagles,2021
106,831,Steelers,2021
97,803,Seahawks,2021
102,1066,49ers,2021
97,874,Buccaneers,2021
103,973,Titans,2021
82,743,Football Team,2021
84,677,Chargers,2010
102,877,Rams,2010
148,1276,Raiders,2010
91,753,Chargers,2011
112,899,Rams,2011
163,1358,Raiders,2011
103,796,Chargers,2012
130,978,Rams,2012
108,939,Raiders,2012
95,765,Chargers,2013
123,1009,Rams,2013
116,912,Raiders,2013
111,967,Chargers,2014
123,1139,Rams,2014
116,939,Raiders,2014
117,942,Chargers,2015
122,1007,Rams,2015
139,1102,Raiders,2015
107,780,Chargers,2016
147,1251,Raiders,2016
114,1009,Raiders,2017
110,965,Raiders,2018
128,1138,Raiders,2019
