publisher,IGN,Gamespot
Blizzard Entertainment,85.9,85.6
Rockstar Games,82.4,77.0
Sony Interactive Entertainment,80.6,74.3
Interplay,80.2,76.1
NCSOFT,79.7,74.5
EA Sports,78.8,76.7
Nintendo,77.8,74.6
Devolver Digital,77.1,73.5
