published,ecosystem,fixed,severity
2022-03-18T00:01:13Z,Go,0.0,HIGH
2022-03-30T00:00:31Z,NuGet,1.0,HIGH
2022-03-04T00:00:19Z,npm,1.0,HIGH
2022-03-03T19:02:08Z,PyPI,1.0,HIGH
2022-03-17T00:00:27Z,npm,1.0,HIGH
2022-03-01T21:44:13Z,Packagist,1.0,CRITICAL
2022-03-12T00:00:34Z,PyPI,1.0,MODERATE
2022-03-18T17:58:59Z,Maven,1.0,HIGH
2022-03-01T22:09:18Z,npm,1.0,HIGH
2022-03-08T21:25:54Z,RubyGems,1.0,HIGH
2022-03-24T00:18:54Z,Go,1.0,CRITICAL
2022-03-04T00:00:15Z,Maven,1.0,MODERATE
2022-03-26T00:00:29Z,RubyGems,1.0,HIGH
2022-03-29T00:01:15Z,Packagist,0.0,CRITICAL
2022-03-11T00:02:36Z,Maven,1.0,HIGH
2022-03-18T17:55:47Z,Maven,1.0,MODERATE
2022-03-18T00:01:11Z,npm,0.0,CRITICAL
2022-03-28T00:00:20Z,Go,0.0,CRITICAL
2022-03-30T00:00:27Z,Maven,1.0,MODERATE
2022-03-01T21:04:57Z,Go,1.0,MODERATE
2022-03-06T00:00:17Z,Maven,1.0,CRITICAL
2022-03-07T21:45:59Z,Go,1.0,HIGH
2022-03-16T00:00:48Z,Packagist,1.0,MODERATE
2022-03-16T00:00:48Z,Packagist,1.0,MODERATE
2022-03-28T16:46:41Z,Go,1.0,HIGH
2022-03-01T22:05:34Z,Packagist,1.0,MODERATE
2022-03-01T00:00:28Z,Go,1.0,HIGH
2022-03-02T00:00:19Z,Packagist,1.0,HIGH
2022-03-12T00:00:37Z,PyPI,0.0,MODERATE
2022-03-12T00:00:27Z,Maven,1.0,MODERATE
2022-03-11T00:02:35Z,Packagist,1.0,HIGH
2022-03-03T19:23:36Z,npm,1.0,MODERATE
2022-03-14T22:45:11Z,PyPI,1.0,CRITICAL
2022-03-16T00:00:45Z,Packagist,1.0,MODERATE
2022-03-25T19:20:39Z,PyPI,1.0,HIGH
2022-03-26T00:09:58Z,Packagist,1.0,HIGH
2022-03-31T00:00:22Z,Packagist,1.0,HIGH
2022-03-15T00:01:01Z,Packagist,1.0,MODERATE
2022-03-25T19:27:39Z,PyPI,1.0,MODERATE
2022-03-11T23:53:23Z,npm,1.0,CRITICAL
2022-03-23T00:00:24Z,PyPI,1.0,CRITICAL
2022-03-16T22:47:55Z,npm,1.0,MODERATE
2022-03-11T00:02:02Z,PyPI,1.0,MODERATE
2022-03-03T00:00:51Z,NuGet,0.0,MODERATE
2022-03-18T17:50:45Z,Maven,1.0,HIGH
2022-03-31T18:30:50Z,Maven,1.0,CRITICAL
2022-03-13T00:00:54Z,Packagist,1.0,MODERATE
2022-03-16T00:00:48Z,Packagist,1.0,MODERATE
2022-03-15T20:13:38Z,Go,1.0,HIGH
2022-03-26T00:19:30Z,Packagist,1.0,CRITICAL
2022-03-05T00:00:41Z,Maven,1.0,CRITICAL
2022-03-18T23:10:48Z,npm,1.0,MODERATE
2022-03-15T20:02:54Z,Go,1.0,MODERATE
2022-03-08T00:00:31Z,PyPI,1.0,CRITICAL
